Bin,Order,bino,Pfam,Description,IPR,Function,GO,gene,pi,coverage,length_with_coverage,sample,mean,std,Z-score
bin_121,Rhodospirillales,bin.121_02112,PF02782,"FGGY family of carbohydrate kinases, C-terminal domain",IPR018485,"Carbohydrate kinase, FGGY, C-terminal",GO:0005975|GO:0016773,NODE_111738_length_4092_cov_20.602923_2,0.013259623,31.81653226,1488,bin_121,0.004432167,0.003359567,2.627557465
bin_80,Rhodobacterales,bin.80_01026,PF01527,Transposase,IPR002514,Transposase IS3/IS911family,GO:0003677|GO:0004803|GO:0006313,NODE_15232_length_14300_cov_6.346016_5,0.013254967,9.626213592,206,bin_80,0.004432167,0.003359567,2.626171572
bin_103,Rhizobiales,bin.103_03144,PF02540,NAD synthase,IPR022310,NAD/GMP synthase,-,NODE_367_length_2637_cov_3.007812_3,0.013200014,25.22416021,1548,bin_103,0.004432167,0.003359567,2.609814405
bin_103,Rhizobiales,bin.103_03144,PF00958,GMP synthase C terminal domain,IPR001674,"GMP synthase, C-terminal",GO:0003922|GO:0005524|GO:0006164|GO:0006177,NODE_367_length_2637_cov_3.007812_3,0.013200014,25.22416021,1548,bin_103,0.004432167,0.003359567,2.609814405
bin_103,Rhizobiales,bin.103_03144,PF00117,Glutamine amidotransferase class-I,IPR017926,Glutamine amidotransferase,-,NODE_367_length_2637_cov_3.007812_3,0.013200014,25.22416021,1548,bin_103,0.004432167,0.003359567,2.609814405
bin_103,Rhizobiales,bin.103_01593,PF00227,Proteasome subunit,IPR001353,"Proteasome, subunit alpha/beta",GO:0005839|GO:0051603,NODE_83_length_10933_cov_3.202082_15,0.013091852,27.38475177,564,bin_103,0.004432167,0.003359567,2.577619186
bin_121,Rhodospirillales,bin.121_01540,PF13649,Methyltransferase domain,IPR041698,Methyltransferase domain 25,-,NODE_53472_length_6354_cov_19.487855_4,0.013034272,26.3768614,873,bin_121,0.004432167,0.003359567,2.560480073
bin_181,UBA727,bin.181_03916,PF03061,Thioesterase superfamily,IPR006683,Thioesterase domain,-,NODE_324215_length_2173_cov_4.776676_3,0.01297872,18.77018634,483,bin_181,0.004432167,0.003359567,2.54394461
bin_49,Thalassobaculales,bin.49_00617,PF00441,"Acyl-CoA dehydrogenase, C-terminal domain",IPR009075,Acyl-CoA dehydrogenase/oxidase C-terminal,GO:0016627,NODE_9206_length_19697_cov_6.104419_4,0.012834063,30.76099585,1205,bin_49,0.004432167,0.003359567,2.500886384
bin_49,Thalassobaculales,bin.49_00617,PF02771,"Acyl-CoA dehydrogenase, N-terminal domain",IPR013786,"Acyl-CoA dehydrogenase/oxidase, N-terminal",GO:0016627|GO:0050660,NODE_9206_length_19697_cov_6.104419_4,0.012834063,30.76099585,1205,bin_49,0.004432167,0.003359567,2.500886384
bin_49,Thalassobaculales,bin.49_00617,PF02770,"Acyl-CoA dehydrogenase, middle domain",IPR006091,"Acyl-CoA oxidase/dehydrogenase, central domain",GO:0016627,NODE_9206_length_19697_cov_6.104419_4,0.012834063,30.76099585,1205,bin_49,0.004432167,0.003359567,2.500886384
bin_103,Rhizobiales,bin.103_00237,PF00709,Adenylosuccinate synthetase,IPR001114,Adenylosuccinate synthetase,GO:0004019|GO:0005525|GO:0006164,NODE_5_length_40425_cov_6.246809_28,0.012783765,30.98529412,1292,bin_103,0.004432167,0.003359567,2.485914812
bin_226,Kiloniellales,bin.226_01950,PF00111,2Fe-2S iron-sulfur cluster binding domain,IPR001041,2Fe-2S ferredoxin-type iron-sulfur binding domain,GO:0051536,NODE_6585_length_24387_cov_9.945627_16,0.012773511,27.86092715,453,bin_226,0.004432167,0.003359567,2.482862633
bin_226,Kiloniellales,bin.226_01950,PF01799,[2Fe-2S] binding domain,IPR002888,[2Fe-2S]-binding,GO:0016491|GO:0046872,NODE_6585_length_24387_cov_9.945627_16,0.012773511,27.86092715,453,bin_226,0.004432167,0.003359567,2.482862633
bin_33,Acidimicrobiales,bin.33_02705,PF13506,Glycosyl transferase family 21,IPR025993,Ceramide glucosyltransferase,GO:0016757,NODE_107668_length_4184_cov_276.764592_2,0.012773414,319.4395373,951,bin_33,0.004432167,0.003359567,2.482833761
bin_49,Thalassobaculales,bin.49_02065,PF00380,Ribosomal protein S9/S16,IPR000754,Ribosomal protein S9,GO:0003735|GO:0005840|GO:0006412,NODE_29017_length_9357_cov_5.626424_4,0.012555087,23.01632653,490,bin_49,0.004432167,0.003359567,2.417847115
bin_39,Mycobacteriales,bin.39_03153,PF02604,"Antitoxin Phd_YefM, type II toxin-antitoxin system",IPR006442,"Type II toxin-antitoxin system, antitoxin Phd/YefM",-,NODE_5928_length_26008_cov_35.075406_2,0.012533984,67.45519713,279,bin_39,0.004432167,0.003359567,2.411565651
bin_121,Rhodospirillales,bin.121_00066,PF00441,"Acyl-CoA dehydrogenase, C-terminal domain",IPR009075,Acyl-CoA dehydrogenase/oxidase C-terminal,GO:0016627,NODE_5804_length_26309_cov_17.053020_14,0.012461716,23.53768844,1194,bin_121,0.004432167,0.003359567,2.390054546
bin_121,Rhodospirillales,bin.121_00066,PF00441,"Acyl-CoA dehydrogenase, C-terminal domain",IPR009075,Acyl-CoA dehydrogenase/oxidase C-terminal,GO:0016627,NODE_5804_length_26309_cov_17.053020_14,0.012461716,23.53768844,1194,bin_121,0.004432167,0.003359567,2.390054546
bin_121,Rhodospirillales,bin.121_00066,PF02770,"Acyl-CoA dehydrogenase, middle domain",IPR006091,"Acyl-CoA oxidase/dehydrogenase, central domain",GO:0016627,NODE_5804_length_26309_cov_17.053020_14,0.012461716,23.53768844,1194,bin_121,0.004432167,0.003359567,2.390054546
bin_121,Rhodospirillales,bin.121_00066,PF02770,"Acyl-CoA dehydrogenase, middle domain",IPR006091,"Acyl-CoA oxidase/dehydrogenase, central domain",GO:0016627,NODE_5804_length_26309_cov_17.053020_14,0.012461716,23.53768844,1194,bin_121,0.004432167,0.003359567,2.390054546
bin_121,Rhodospirillales,bin.121_00066,PF00441,"Acyl-CoA dehydrogenase, C-terminal domain",IPR009075,Acyl-CoA dehydrogenase/oxidase C-terminal,GO:0016627,NODE_5804_length_26309_cov_17.053020_14,0.012461716,23.53768844,1194,bin_121,0.004432167,0.003359567,2.390054546
bin_121,Rhodospirillales,bin.121_00066,PF00441,"Acyl-CoA dehydrogenase, C-terminal domain",IPR009075,Acyl-CoA dehydrogenase/oxidase C-terminal,GO:0016627,NODE_5804_length_26309_cov_17.053020_14,0.012461716,23.53768844,1194,bin_121,0.004432167,0.003359567,2.390054546
bin_121,Rhodospirillales,bin.121_00066,PF02771,"Acyl-CoA dehydrogenase, N-terminal domain",IPR013786,"Acyl-CoA dehydrogenase/oxidase, N-terminal",GO:0016627|GO:0050660,NODE_5804_length_26309_cov_17.053020_14,0.012461716,23.53768844,1194,bin_121,0.004432167,0.003359567,2.390054546
bin_121,Rhodospirillales,bin.121_00066,PF02771,"Acyl-CoA dehydrogenase, N-terminal domain",IPR013786,"Acyl-CoA dehydrogenase/oxidase, N-terminal",GO:0016627|GO:0050660,NODE_5804_length_26309_cov_17.053020_14,0.012461716,23.53768844,1194,bin_121,0.004432167,0.003359567,2.390054546
bin_121,Rhodospirillales,bin.121_00066,PF02771,"Acyl-CoA dehydrogenase, N-terminal domain",IPR013786,"Acyl-CoA dehydrogenase/oxidase, N-terminal",GO:0016627|GO:0050660,NODE_5804_length_26309_cov_17.053020_14,0.012461716,23.53768844,1194,bin_121,0.004432167,0.003359567,2.390054546
bin_121,Rhodospirillales,bin.121_00066,PF02771,"Acyl-CoA dehydrogenase, N-terminal domain",IPR013786,"Acyl-CoA dehydrogenase/oxidase, N-terminal",GO:0016627|GO:0050660,NODE_5804_length_26309_cov_17.053020_14,0.012461716,23.53768844,1194,bin_121,0.004432167,0.003359567,2.390054546
bin_121,Rhodospirillales,bin.121_00066,PF02770,"Acyl-CoA dehydrogenase, middle domain",IPR006091,"Acyl-CoA oxidase/dehydrogenase, central domain",GO:0016627,NODE_5804_length_26309_cov_17.053020_14,0.012461716,23.53768844,1194,bin_121,0.004432167,0.003359567,2.390054546
bin_121,Rhodospirillales,bin.121_00066,PF02770,"Acyl-CoA dehydrogenase, middle domain",IPR006091,"Acyl-CoA oxidase/dehydrogenase, central domain",GO:0016627,NODE_5804_length_26309_cov_17.053020_14,0.012461716,23.53768844,1194,bin_121,0.004432167,0.003359567,2.390054546
bin_103,Rhizobiales,bin.103_02802,PF00289,"Biotin carboxylase, N-terminal domain",IPR005481,"Biotin carboxylase-like, N-terminal domain",-,NODE_267_length_3946_cov_5.292582_5,0.012458603,43.73974646,1341,bin_103,0.004432167,0.003359567,2.389127939
bin_103,Rhizobiales,bin.103_02802,PF02786,"Carbamoyl-phosphate synthase L chain, ATP binding domain",IPR005479,"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain",GO:0005524,NODE_267_length_3946_cov_5.292582_5,0.012458603,43.73974646,1341,bin_103,0.004432167,0.003359567,2.389127939
bin_103,Rhizobiales,bin.103_02802,PF02785,Biotin carboxylase C-terminal domain,IPR005482,"Biotin carboxylase, C-terminal",-,NODE_267_length_3946_cov_5.292582_5,0.012458603,43.73974646,1341,bin_103,0.004432167,0.003359567,2.389127939
bin_154,Gemmatimonadetes,bin.154_02497,PF00171,Aldehyde dehydrogenase family,IPR015590,Aldehyde dehydrogenase domain,GO:0016491,NODE_45180_length_7050_cov_7.327520_6,0.012276187,20.65498858,1313,bin_154,0.004432167,0.003359567,2.334830467
bin_226,Kiloniellales,bin.226_03585,PF13561,Enoyl-(Acyl carrier protein) reductase,-,-,,NODE_45839_length_6984_cov_10.418531_3,0.012203953,24.9,780,bin_226,0.004432167,0.003359567,2.313329483
bin_103,Rhizobiales,bin.103_02399,PF02737,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain",IPR006176,"3-hydroxyacyl-CoA dehydrogenase, NAD binding",GO:0006631|GO:0070403,NODE_187_length_5683_cov_7.729219_4,0.012152224,55.2283105,876,bin_103,0.004432167,0.003359567,2.297931963
bin_103,Rhizobiales,bin.103_02399,PF00725,"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain",IPR006108,"3-hydroxyacyl-CoA dehydrogenase, C-terminal",GO:0006631|GO:0016491|GO:0016616,NODE_187_length_5683_cov_7.729219_4,0.012152224,55.2283105,876,bin_103,0.004432167,0.003359567,2.297931963
bin_181,UBA727,bin.181_00104,PF13823,Alcohol dehydrogenase GroES-associated,IPR027399,Alcohol dehydrogenase GroES-associated,-,NODE_16166_length_13738_cov_6.477673_9,0.012044989,22.09918107,1099,bin_181,0.004432167,0.003359567,2.266012673
bin_181,UBA727,bin.181_00104,PF00107,Zinc-binding dehydrogenase,IPR013149,"Alcohol dehydrogenase, C-terminal",-,NODE_16166_length_13738_cov_6.477673_9,0.012044989,22.09918107,1099,bin_181,0.004432167,0.003359567,2.266012673
bin_181,UBA727,bin.181_00104,PF08240,Alcohol dehydrogenase GroES-like domain,IPR013154,"Alcohol dehydrogenase, N-terminal",-,NODE_16166_length_13738_cov_6.477673_9,0.012044989,22.09918107,1099,bin_181,0.004432167,0.003359567,2.266012673
bin_121,Rhodospirillales,bin.121_01664,PF00687,Ribosomal protein L1p/L10e family,IPR028364,Ribosomal protein L1/ribosomal biogenesis protein,-,NODE_63581_length_5715_cov_17.933922_4,0.011999574,42.5106082,707,bin_121,0.004432167,0.003359567,2.252494562
bin_121,Rhodospirillales,bin.121_00090,PF02445,Quinolinate synthetase A protein,IPR003473,Quinolinate synthetase A,GO:0008987|GO:0009435|GO:0051539,NODE_6966_length_23562_cov_19.401965_10,0.011885428,26.09462151,1004,bin_121,0.004432167,0.003359567,2.218518161
bin_121,Rhodospirillales,bin.121_00947,PF00171,Aldehyde dehydrogenase family,IPR015590,Aldehyde dehydrogenase domain,GO:0016491,NODE_24820_length_10383_cov_19.006197_5,0.011857869,29.73705179,1506,bin_121,0.004432167,0.003359567,2.210315021
bin_73,Euzebyales,bin.73_01067,PF00196,"Bacterial regulatory proteins, luxR family",IPR000792,"Transcription regulator LuxR, C-terminal",GO:0006355,NODE_106070_length_4221_cov_6.526884_2,0.01183415,17.53571429,672,bin_73,0.004432167,0.003359567,2.203254885
bin_73,Euzebyales,bin.73_01067,PF00072,Response regulator receiver domain,IPR001789,"Signal transduction response regulator, receiver domain",GO:0000160,NODE_106070_length_4221_cov_6.526884_2,0.01183415,17.53571429,672,bin_73,0.004432167,0.003359567,2.203254885
bin_226,Kiloniellales,bin.226_02598,PF03328,HpcH/HpaI aldolase/citrate lyase family,IPR005000,HpcH/HpaI aldolase/citrate lyase domain,GO:0003824,NODE_11627_length_16981_cov_9.907716_13,0.011771158,25.88126919,977,bin_226,0.004432167,0.003359567,2.184504851
bin_121,Rhodospirillales,bin.121_02454,PF13561,Enoyl-(Acyl carrier protein) reductase,-,-,,NODE_168220_length_3210_cov_18.685895_4,0.011726531,26.64230769,780,bin_121,0.004432167,0.003359567,2.171221294
bin_59,Pseudomonadales,bin.59_03321,PF02798,"Glutathione S-transferase, N-terminal domain",IPR004045,"Glutathione S-transferase, N-terminal",GO:0005515|GO:0006749,NODE_24409_length_10495_cov_269.892241_3,0.011714638,138.0580205,879,bin_59,0.004432167,0.003359567,2.167681255
bin_59,Pseudomonadales,bin.59_03321,PF00043,"Glutathione S-transferase, C-terminal domain",IPR004046,"Glutathione S-transferase, C-terminal",-,NODE_24409_length_10495_cov_269.892241_3,0.011714638,138.0580205,879,bin_59,0.004432167,0.003359567,2.167681255
bin_103,Rhizobiales,bin.103_02939,PF00528,Binding-protein-dependent transport system inner membrane component,IPR000515,"ABC transporter type 1, transmembrane domain MetI-like",GO:0016020|GO:0055085,NODE_299_length_3449_cov_2.326809_5,0.011693458,28.98841251,863,bin_103,0.004432167,0.003359567,2.161376871
bin_103,Rhizobiales,bin.103_01082,PF00988,"Carbamoyl-phosphate synthase small chain, CPSase domain",IPR002474,"Carbamoyl-phosphate synthase small subunit, N-terminal domain",-,NODE_44_length_16191_cov_5.710004_15,0.011593851,32.37562189,1206,bin_103,0.004432167,0.003359567,2.131728111
bin_103,Rhizobiales,bin.103_01082,PF00117,Glutamine amidotransferase class-I,IPR017926,Glutamine amidotransferase,-,NODE_44_length_16191_cov_5.710004_15,0.011593851,32.37562189,1206,bin_103,0.004432167,0.003359567,2.131728111
bin_189,Rhizobiales,bin.189_02303,PF00177,Ribosomal protein S7p/S5e,IPR023798,Ribosomal protein S7 domain,-,NODE_214082_length_2781_cov_5.917095_2,0.01150566,41.12526539,471,bin_189,0.004432167,0.003359567,2.105477407
bin_8,Azospirillales,bin.8_02699,PF14698,Argininosuccinate lyase C-terminal,IPR029419,"Argininosuccinate lyase, C-terminal",-,NODE_40117_length_7598_cov_7.941005_3,0.01149951,28.51007194,1390,bin_8,0.004432167,0.003359567,2.103646815
bin_8,Azospirillales,bin.8_02699,PF00206,Lyase,IPR022761,"Fumarate lyase, N-terminal",-,NODE_40117_length_7598_cov_7.941005_3,0.01149951,28.51007194,1390,bin_8,0.004432167,0.003359567,2.103646815
bin_128,Rhizobiales,bin.128_02125,PF13561,Enoyl-(Acyl carrier protein) reductase,-,-,,NODE_11196_length_17398_cov_29.717638_10,0.011485492,46.02811245,747,bin_128,0.004432167,0.003359567,2.099474253
bin_8,Azospirillales,bin.8_01387,PF00694,Aconitase C-terminal domain,IPR000573,"Aconitase A/isopropylmalate dehydratase small subunit, swivel domain",-,NODE_12006_length_16659_cov_7.616779_3,0.011461846,23.07389163,609,bin_8,0.004432167,0.003359567,2.092435846
bin_184,Nevskiales,bin.184_00909,PF07883,Cupin domain,IPR013096,"Cupin 2, conserved barrel",-,NODE_6275_length_25188_cov_221.776111_4,0.011454132,139.3100775,387,bin_184,0.004432167,0.003359567,2.090139717
bin_33,Acidimicrobiales,bin.33_01113,PF00903,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,IPR004360,Glyoxalase/fosfomycin resistance/dioxygenase domain,-,NODE_12515_length_16225_cov_306.317440_15,0.01139815,201.9829684,411,bin_33,0.004432167,0.003359567,2.073476261
