Bin,Order,bino,Pfam,Description,IPR,Function,GO,gene,pi,coverage,length_with_coverage,mean,std,Z-score
bin_55,Rhodothermales,bin.55_02895,PF00491,Arginase family,IPR006035,Ureohydrolase,GO:0046872,NODE_228256_length_2676_cov_23.858451_2,0.015010108,47.35416667,912,0.007416446,0.005885294,1.290277317
bin_87,Kiloniellales,bin.87_00912,PF00072,Response regulator receiver domain,IPR001789,"Signal transduction response regulator, receiver domain",GO:0000160,NODE_37672_length_7907_cov_11.165181_2,0.014941647,28.78961749,366,0.007416446,0.005885294,1.278644764
bin_55,Rhodothermales,bin.55_01342,PF01956,Integral membrane protein EMC3/TMCO1-like,IPR002809,Integral membrane protein EMC3/TMCO1-like,GO:0016020,NODE_74350_length_5209_cov_26.151533_6,0.014932257,54.18403548,902,0.007416446,0.005885294,1.277049261
bin_55,Rhodothermales,bin.55_01342,PF01956,Integral membrane protein EMC3/TMCO1-like,IPR002809,Integral membrane protein EMC3/TMCO1-like,GO:0016020,NODE_74350_length_5209_cov_26.151533_6,0.014932257,54.18403548,902,0.007416446,0.005885294,1.277049261
bin_55,Rhodothermales,bin.55_01342,PF01956,Integral membrane protein EMC3/TMCO1-like,IPR002809,Integral membrane protein EMC3/TMCO1-like,GO:0016020,NODE_74350_length_5209_cov_26.151533_6,0.014932257,54.18403548,902,0.007416446,0.005885294,1.277049261
bin_55,Rhodothermales,bin.55_01342,PF01956,Integral membrane protein EMC3/TMCO1-like,IPR002809,Integral membrane protein EMC3/TMCO1-like,GO:0016020,NODE_74350_length_5209_cov_26.151533_6,0.014932257,54.18403548,902,0.007416446,0.005885294,1.277049261
bin_215,Bipolaricaulia,bin.215_01348,PF02535,ZIP Zinc transporter,IPR003689,Zinc/iron permease,GO:0016020|GO:0030001|GO:0046873|GO:0055085,NODE_189259_length_2994_cov_9.025179_4,0.014800691,30.6184739,747,0.007416446,0.005885294,1.25469422
bin_215,Bipolaricaulia,bin.215_01346,PF01988,VIT family,IPR008217,Ccc1 family,GO:0005384|GO:0030026,NODE_189259_length_2994_cov_9.025179_2,0.014652722,23.00687285,582,0.007416446,0.005885294,1.229552061
bin_55,Rhodothermales,bin.55_04153,PF00111,2Fe-2S iron-sulfur cluster binding domain,IPR001041,2Fe-2S ferredoxin-type iron-sulfur binding domain,GO:0051536,NODE_435125_length_1823_cov_19.674208_3,0.014335538,72.22820513,390,0.007416446,0.005885294,1.17565773
bin_41,Halobacteriales,bin.41_00669,PF06745,KaiC,IPR014774,KaiC-like domain,-,NODE_23467_length_10776_cov_13.323850_2,0.014203018,39.45683453,834,0.007416446,0.005885294,1.153140589
bin_85,Halobacteriales,bin.85_00563,PF01022,"Bacterial regulatory protein, arsR family",IPR001845,HTH ArsR-type DNA-binding domain,GO:0003700|GO:0006355,NODE_43820_length_7188_cov_188.385532_2,0.014055674,100.7604167,288,0.007416446,0.005885294,1.128104628
bin_55,Rhodothermales,bin.55_00793,PF00266,Aminotransferase class-V,IPR000192,Aminotransferase class V domain,-,NODE_37006_length_7990_cov_13.402016_7,0.013941351,34.78712871,1212,0.007416446,0.005885294,1.108679431
bin_55,Rhodothermales,bin.55_00793,PF00266,Aminotransferase class-V,IPR000192,Aminotransferase class V domain,-,NODE_37006_length_7990_cov_13.402016_7,0.013941351,34.78712871,1212,0.007416446,0.005885294,1.108679431
bin_55,Rhodothermales,bin.55_00793,PF00266,Aminotransferase class-V,IPR000192,Aminotransferase class V domain,-,NODE_37006_length_7990_cov_13.402016_7,0.013941351,34.78712871,1212,0.007416446,0.005885294,1.108679431
bin_55,Rhodothermales,bin.55_00793,PF00266,Aminotransferase class-V,IPR000192,Aminotransferase class V domain,-,NODE_37006_length_7990_cov_13.402016_7,0.013941351,34.78712871,1212,0.007416446,0.005885294,1.108679431
bin_186,Halobacteriales,bin.186_00953,PF00160,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,IPR002130,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain,GO:0000413|GO:0003755,NODE_46019_length_6967_cov_11.086661_4,0.013895677,53.08876812,552,0.007416446,0.005885294,1.100918732
bin_41,Halobacteriales,bin.41_00527,PF07883,Cupin domain,IPR013096,"Cupin 2, conserved barrel",-,NODE_17950_length_12842_cov_14.860092_9,0.013626656,54.48235294,510,0.007416446,0.005885294,1.055208018
bin_178,Halobacteriales,bin.178_00716,PF00005,ABC transporter,IPR003439,ABC transporter-like,GO:0005524,NODE_27297_length_9741_cov_161.711542_7,0.013620618,173.7243304,896,0.007416446,0.005885294,1.054182071
bin_55,Rhodothermales,bin.55_04740,PF00013,KH domain,IPR004088,"K Homology domain, type 1",GO:0003723,NODE_574463_length_1543_cov_19.087366_2,0.013559956,53.90451389,576,0.007416446,0.005885294,1.043874685
bin_168,Halobacteriales,bin.168_01726,PF07883,Cupin domain,IPR013096,"Cupin 2, conserved barrel",-,NODE_110550_length_4118_cov_14.790303_4,0.013468358,88.48082596,339,0.007416446,0.005885294,1.028310808
bin_146,Halobacteriales,bin.146_02406,PF00005,ABC transporter,IPR003439,ABC transporter-like,GO:0005524,NODE_62482_length_5776_cov_39.582590_1,0.013299589,67.71897436,975,0.007416446,0.005885294,0.999634417
bin_41,Halobacteriales,bin.41_00753,PF07366,SnoaL-like polyketide cyclase,IPR009959,Polyketide cyclase SnoaL-like,GO:0030638,NODE_29358_length_9293_cov_11.182940_2,0.01327356,50.96371882,441,0.007416446,0.005885294,0.995211698
bin_55,Rhodothermales,bin.55_00802,PF00005,ABC transporter,IPR003439,ABC transporter-like,GO:0005524,NODE_38239_length_7829_cov_14.094546_8,0.013260663,42.09810479,897,0.007416446,0.005885294,0.993020304
bin_87,Kiloniellales,bin.87_00659,PF00216,Bacterial DNA-binding protein,IPR000119,Histone-like DNA-binding protein,GO:0003677,NODE_29088_length_9344_cov_11.701260_10,0.013200422,21.3122807,285,0.007416446,0.005885294,0.982784452
bin_55,Rhodothermales,bin.55_04152,PF00977,Histidine biosynthesis protein,IPR006062,Histidine biosynthesis protein,GO:0000105,NODE_435125_length_1823_cov_19.674208_2,0.013176661,50.37978142,732,0.007416446,0.005885294,0.978747101
bin_41,Halobacteriales,bin.41_01904,PF03745,Domain of unknown function (DUF309),IPR005500,Protein of unknown function DUF309,-,NODE_246482_length_2556_cov_10.461016_4,0.013014739,30.94478528,489,0.007416446,0.005885294,0.951234118
bin_146,Halobacteriales,bin.146_02017,PF13417,"Glutathione S-transferase, N-terminal domain",IPR004045,"Glutathione S-transferase, N-terminal",GO:0005515|GO:0006749,NODE_21791_length_11305_cov_37.549067_3,0.01293577,36.48275862,261,0.007416446,0.005885294,0.937816098
bin_25,T1Sed10-126,bin.25_01568,PF00731,AIR carboxylase,IPR000031,PurE domain,GO:0006189,NODE_26573_length_9910_cov_7.155556_9,0.012724363,10.1025,400,0.007416446,0.005885294,0.901894869
bin_55,Rhodothermales,bin.55_01341,PF00406,Adenylate kinase,-,-,,NODE_74350_length_5209_cov_26.151533_5,0.012680371,61.30805687,633,0.007416446,0.005885294,0.894419967
bin_55,Rhodothermales,bin.55_01341,PF00406,Adenylate kinase,-,-,,NODE_74350_length_5209_cov_26.151533_5,0.012680371,61.30805687,633,0.007416446,0.005885294,0.894419967
bin_55,Rhodothermales,bin.55_01341,PF00406,Adenylate kinase,-,-,,NODE_74350_length_5209_cov_26.151533_5,0.012680371,61.30805687,633,0.007416446,0.005885294,0.894419967
bin_55,Rhodothermales,bin.55_01341,PF00406,Adenylate kinase,-,-,,NODE_74350_length_5209_cov_26.151533_5,0.012680371,61.30805687,633,0.007416446,0.005885294,0.894419967
bin_55,Rhodothermales,bin.55_01341,PF05191,"Adenylate kinase, active site lid",IPR007862,"Adenylate kinase, active site lid domain",GO:0004017,NODE_74350_length_5209_cov_26.151533_5,0.012680371,61.30805687,633,0.007416446,0.005885294,0.894419967
bin_55,Rhodothermales,bin.55_01341,PF05191,"Adenylate kinase, active site lid",IPR007862,"Adenylate kinase, active site lid domain",GO:0004017,NODE_74350_length_5209_cov_26.151533_5,0.012680371,61.30805687,633,0.007416446,0.005885294,0.894419967
bin_55,Rhodothermales,bin.55_01341,PF05191,"Adenylate kinase, active site lid",IPR007862,"Adenylate kinase, active site lid domain",GO:0004017,NODE_74350_length_5209_cov_26.151533_5,0.012680371,61.30805687,633,0.007416446,0.005885294,0.894419967
bin_55,Rhodothermales,bin.55_01341,PF05191,"Adenylate kinase, active site lid",IPR007862,"Adenylate kinase, active site lid domain",GO:0004017,NODE_74350_length_5209_cov_26.151533_5,0.012680371,61.30805687,633,0.007416446,0.005885294,0.894419967
bin_41,Halobacteriales,bin.41_01291,PF00742,Homoserine dehydrogenase,IPR001342,"Homoserine dehydrogenase, catalytic",GO:0006520,NODE_71088_length_5351_cov_15.190332_6,0.012440663,48.49001052,951,0.007416446,0.005885294,0.853689973
bin_41,Halobacteriales,bin.41_01291,PF03447,"Homoserine dehydrogenase, NAD binding domain",IPR005106,"Aspartate/homoserine dehydrogenase, NAD-binding",GO:0016491|GO:0050661,NODE_71088_length_5351_cov_15.190332_6,0.012440663,48.49001052,951,0.007416446,0.005885294,0.853689973
bin_55,Rhodothermales,bin.55_03329,PF00005,ABC transporter,IPR003439,ABC transporter-like,GO:0005524,NODE_293959_length_2303_cov_20.157473_1,0.012326797,39.30693069,909,0.007416446,0.005885294,0.834342427
bin_148,Halobacteriales,bin.148_00989,PF00590,Tetrapyrrole (Corrin/Porphyrin) Methylases,IPR000878,Tetrapyrrole methylase,GO:0008168,NODE_36759_length_8026_cov_11.546230_5,0.012318822,52.97054886,747,0.007416446,0.005885294,0.832987355
bin_41,Halobacteriales,bin.41_01001,PF00291,Pyridoxal-phosphate dependent enzyme,IPR001926,Pyridoxal-phosphate dependent enzyme,-,NODE_54424_length_6285_cov_13.925522_7,0.012066354,40.06926407,924,0.007416446,0.005885294,0.790089245
bin_178,Halobacteriales,bin.178_00246,PF00266,Aminotransferase class-V,IPR000192,Aminotransferase class V domain,-,NODE_12723_length_16070_cov_170.727943_7,0.012046148,191.8018648,1287,0.007416446,0.005885294,0.786655942
bin_135,Halobacteriales,bin.135_00389,PF00441,"Acyl-CoA dehydrogenase, C-terminal domain",IPR009075,Acyl-CoA dehydrogenase/oxidase C-terminal,GO:0016627,NODE_52158_length_6450_cov_8.138702_7,0.011954024,35.37105263,1140,0.007416446,0.005885294,0.771002689
bin_135,Halobacteriales,bin.135_00389,PF02770,"Acyl-CoA dehydrogenase, middle domain",IPR006091,"Acyl-CoA oxidase/dehydrogenase, central domain",GO:0016627,NODE_52158_length_6450_cov_8.138702_7,0.011954024,35.37105263,1140,0.007416446,0.005885294,0.771002689
bin_135,Halobacteriales,bin.135_00389,PF02771,"Acyl-CoA dehydrogenase, N-terminal domain",IPR013786,"Acyl-CoA dehydrogenase/oxidase, N-terminal",GO:0016627|GO:0050660,NODE_52158_length_6450_cov_8.138702_7,0.011954024,35.37105263,1140,0.007416446,0.005885294,0.771002689
bin_55,Rhodothermales,bin.55_03325,PF00005,ABC transporter,IPR003439,ABC transporter-like,GO:0005524,NODE_293520_length_2305_cov_78.785778_2,0.011932842,83.79319728,735,0.007416446,0.005885294,0.767403549
bin_178,Halobacteriales,bin.178_00286,PF01061,ABC-2 type transporter,IPR013525,ABC-2 type transporter,GO:0016020,NODE_13715_length_15303_cov_181.477505_15,0.011871109,215.730719,765,0.007416446,0.005885294,0.756914184
bin_41,Halobacteriales,bin.41_01339,PF00266,Aminotransferase class-V,IPR000192,Aminotransferase class V domain,-,NODE_75494_length_5164_cov_10.896457_3,0.011866081,45.996115,1287,0.007416446,0.005885294,0.756059851
bin_55,Rhodothermales,bin.55_02896,PF01370,NAD dependent epimerase/dehydratase family,IPR001509,NAD-dependent epimerase/dehydratase,GO:0003824,NODE_228256_length_2676_cov_23.858451_3,0.011801067,40.77063237,933,0.007416446,0.005885294,0.745012995
bin_178,Halobacteriales,bin.178_00155,PF00334,Nucleoside diphosphate kinase,IPR034907,Nucleoside diphosphate kinase-like domain,-,NODE_9440_length_19357_cov_159.846234_11,0.011580532,218.4655172,464,0.007416446,0.005885294,0.707540782
bin_143,Halobacteriales,bin.143_02311,PF07690,Major Facilitator Superfamily,IPR011701,Major facilitator superfamily,GO:0022857|GO:0055085,NODE_64611_length_5661_cov_13.017481_5,0.011524517,23.48569332,1363,0.007416446,0.005885294,0.698022991
bin_179,Halobacteriales,bin.179_01513,PF00441,"Acyl-CoA dehydrogenase, C-terminal domain",IPR009075,Acyl-CoA dehydrogenase/oxidase C-terminal,GO:0016627,NODE_17132_length_13232_cov_7.245428_3,0.011474985,31.26906598,1167,0.007416446,0.005885294,0.689606759
bin_179,Halobacteriales,bin.179_01513,PF02770,"Acyl-CoA dehydrogenase, middle domain",IPR006091,"Acyl-CoA oxidase/dehydrogenase, central domain",GO:0016627,NODE_17132_length_13232_cov_7.245428_3,0.011474985,31.26906598,1167,0.007416446,0.005885294,0.689606759
bin_179,Halobacteriales,bin.179_01513,PF02771,"Acyl-CoA dehydrogenase, N-terminal domain",IPR013786,"Acyl-CoA dehydrogenase/oxidase, N-terminal",GO:0016627|GO:0050660,NODE_17132_length_13232_cov_7.245428_3,0.011474985,31.26906598,1167,0.007416446,0.005885294,0.689606759
bin_146,Halobacteriales,bin.146_02487,PF00005,ABC transporter,IPR003439,ABC transporter-like,GO:0005524,NODE_99289_length_4387_cov_35.780471_5,0.011428683,67.81496599,735,0.007416446,0.005885294,0.681739353
bin_55,Rhodothermales,bin.55_01655,PF01157,Ribosomal protein L21e,IPR001147,Ribosomal protein L21e,GO:0003735|GO:0005840|GO:0006412,NODE_97669_length_4431_cov_28.658364_3,0.01142098,42.39583333,288,0.007416446,0.005885294,0.680430498
bin_203,Halobacteriales,bin.203_00118,PF02700,Phosphoribosylformylglycinamidine (FGAM) synthase,IPR003850,Phosphoribosylformylglycinamidine synthase subunit PurS,-,NODE_11979_length_16681_cov_28.042283_4,0.011378712,62.86423841,302,0.007416446,0.005885294,0.673248529
bin_178,Halobacteriales,bin.178_01126,PF00736,EF-1 guanine nucleotide exchange domain,IPR014038,"Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange domain",GO:0003746|GO:0006414,NODE_76652_length_5116_cov_161.206283_4,0.01129892,152.6254682,267,0.007416446,0.005885294,0.659690668
bin_191,Gammaproteobacteria,bin.191_02429,PF01230,HIT domain,IPR001310,Histidine triad (HIT) protein,-,NODE_171949_length_3168_cov_7.302281_5,0.011225921,12.33526012,346,0.007416446,0.005885294,0.647287041
bin_146,Halobacteriales,bin.146_01069,PF01061,ABC-2 type transporter,IPR013525,ABC-2 type transporter,GO:0016020,NODE_3010_length_38925_cov_42.552148_33,0.011108788,54.47280335,717,0.007416446,0.005885294,0.627384382
bin_55,Rhodothermales,bin.55_00825,PF03745,Domain of unknown function (DUF309),IPR005500,Protein of unknown function DUF309,-,NODE_39234_length_7701_cov_16.594167_4,0.011099445,22.43762781,489,0.007416446,0.005885294,0.625796866
bin_41,Halobacteriales,bin.41_00951,PF01699,Sodium/calcium exchanger protein,IPR004837,Sodium/calcium exchanger membrane region,GO:0016021|GO:0055085,NODE_49403_length_6672_cov_11.537404_6,0.010964968,35.14089347,1164,0.007416446,0.005885294,0.602947202
bin_41,Halobacteriales,bin.41_00951,PF01699,Sodium/calcium exchanger protein,IPR004837,Sodium/calcium exchanger membrane region,GO:0016021|GO:0055085,NODE_49403_length_6672_cov_11.537404_6,0.010964968,35.14089347,1164,0.007416446,0.005885294,0.602947202
bin_155,Halobacteriales,bin.155_01168,PF00106,short chain dehydrogenase,IPR002347,Short-chain dehydrogenase/reductase SDR,GO:0016491,NODE_26_length_4859_cov_2.577164_3,0.01093531,20.7753304,681,0.007416446,0.005885294,0.597907862
bin_232,Halobacteriales,bin.232_00535,PF00557,Metallopeptidase family M24,IPR000994,Peptidase M24,-,NODE_37192_length_7964_cov_19.695031_2,0.010887971,78.43420016,1269,0.007416446,0.005885294,0.589864254
bin_55,Rhodothermales,bin.55_03033,PF00742,Homoserine dehydrogenase,IPR001342,"Homoserine dehydrogenase, catalytic",GO:0006520,NODE_250897_length_2530_cov_50.204040_2,0.010661938,19.76849894,946,0.007416446,0.005885294,0.551457848
